,LDA_PC1,LDA_PC2,LDA_PC3,player_fifa_api_id,player_positions,player_positions_general
1068,-1.1984013471863597,1.843838491278914,-1.9086272008026828,164361,ST,ATK
1069,-2.8211420108498926,-1.1974345504455888,1.2162754506058284,135423,"RB, RM",MID
1070,-2.210201552322658,2.45046286367971,-0.7444233331855163,217820,"ST, RW",ATK
1071,-2.1047896159439285,2.0527154817087023,-2.601755786523764,147921,"ST, RM",MID
1072,23.657260077061082,0.08447977204815678,0.5662767521294401,201325,GK,GK
1073,-2.6240555219746815,2.9311130628898523,-2.256079265650998,192387,ST,ATK
1074,-1.9774700645101366,-2.2679069115095203,-0.6414093966528068,138630,CB,DEF
1075,-0.9046320530290317,-2.985623308458192,-1.43681503922174,199517,CB,DEF
1076,-1.5921799184500411,2.2827361106698296,-0.9781169875701601,212112,"ST, LM, RM, CAM",MID
1077,-2.2457756534488915,-1.9886958921943432,-0.5889751505575079,200793,LB,DEF
1078,-5.332794444001514,-2.3904196722128055,-0.8629820335495244,186721,"CB, LB",DEF
1079,-1.7142295447652074,-1.1174891442014898,1.5014923831539164,219780,CDM,MID
1080,-1.4451414970920764,0.7581906392308706,1.566709174729506,186935,CM,MID
1081,-2.2784520423856685,1.8585712485260144,-0.8650979683020412,183068,"ST, LM, RM",MID
1082,26.332531974738664,-0.05195426498036533,0.906806350051753,174543,GK,GK
1083,-2.395765588464872,-1.3975227219353041,-0.15963378389638322,158282,LB,DEF
1084,-5.103383637259831,-0.09934424510172706,1.290590969182099,173210,"CM, CDM",MID
1085,-2.383682389886717,3.531757418677903,-0.6795964685345643,25420,"ST, CAM",MID
1086,20.609280251273308,-0.16954585831439084,-1.2450113719772566,198513,GK,GK
1087,-1.6508202465080088,-2.77238833881817,-1.642502706454295,102064,CB,DEF
1088,-3.6853525566251206,-0.45502063615731114,1.4334111771312226,183893,"CDM, CM",MID
1089,-1.501186641439969,1.9997287964038963,-0.6085317257568073,165429,"ST, CF",ATK
1090,-1.722051480661953,-3.3710167599892076,-2.692731894269746,208895,CB,DEF
1091,-2.5435532621103465,0.9165136888684379,0.6113406745726992,197376,"CAM, CM, RM",MID
1092,-2.054459097649655,-0.7085293139306348,1.0511231025241363,101336,"CM, RM, RB",DEF
1093,-5.730752881760795,1.6338411045473487,-0.5230703863159581,188575,"RM, ST",ATK
